index,Country,Family,Freedom,Generosity,Happiness Rank,Happiness Score,Year,country_code,fertility_rate_15_19,fertility_rate_20_24,fertility_rate_25_29,fertility_rate_30_34,fertility_rate_35_39,fertility_rate_40_44,fertility_rate_45_49,total_fertility_rate,gross_reproduction_rate,sex_ratio_at_birth,fertility_rate_avg
0,Switzerland,1.34951,0.66557,0.29678,1,7.587,2015,SZ,3.1,31.1,80.6,113,67.1,13.6,0.8,1.5463,0.751,1.059,38.1166666666667
1,Iceland,1.40223,0.62877,0.4363,2,7.561,2015,IC,10.9,75.7,139.9,113.8,45,13.4,6.1,2.02,0.9875,1.0456,44.15
2,Denmark,1.36058,0.64938,0.34139,3,7.527,2015,DA,3.4,34.4,110.6,123.8,57.5,11,0.6,1.7138,0.8349,1.0526,38.45
3,Norway,1.33095,0.66973,0.34699,4,7.522,2015,NO,6,52.1,118.2,125,59.4,10.4,0.6,1.8586,0.9045,1.0549,42.25
4,Canada,1.32261,0.63297,0.45811,5,7.427,2015,CA,13.7,53.1,101.7,101.2,41.6,7.1,0.3,1.5941,0.7752,1.0563,36.1666666666667
5,Finland,1.31826,0.64169,0.23351,6,7.406,2015,FI,7.3,50.9,105.7,114.6,58.5,13.1,0.6,1.7502,0.8554,1.046,40.8333333333333
6,Netherlands,1.28017,0.61576,0.4761,7,7.378,2015,NL,3.9,33.7,103.9,137.6,65.9,10.7,0.4,1.7806,0.8682,1.051,42.0333333333333
7,Sweden,1.28907,0.6598,0.36262,8,7.364,2015,SW,3.5,41.5,103.5,133.9,76,16.8,1.2,1.883,0.9152,1.0575,45.4833333333333
8,New Zealand,1.31967,0.63938,0.47501,9,7.286,2015,NZ,27.8,70.8,107.6,124.7,63.5,12.3,0.6,2.0383,0.9953,1.048,49.95
9,Australia,1.30923,0.65124,0.43562,10,7.284,2015,AS,16.5,52.9,96.6,116.9,59,11.3,0.5,1.7687,0.8607,1.055,42.85
10,Israel,1.22393,0.41319,0.33172,11,7.278,2015,IS,14.9,104.1,167.6,148.8,78.7,20.1,1.8,2.68,1.3073,1.05,61.4
11,Costa Rica,1.23788,0.63376,0.25497,12,7.226,2015,CS,56.2,102.6,103.1,72.3,33.4,9.8,1,1.9028,0.9282,1.05,45.8833333333333
12,Austria,1.29704,0.62433,0.33088,13,7.2,2015,AU,8.7,45.2,89.4,92.4,47,8.7,0.5,1.4583,0.7103,1.053,33.75
13,Mexico,0.91451,0.48181,0.14074,14,7.187,2015,MX,55.7,122.6,121.9,91.2,46.1,14.5,2.2,2.2711,1.1079,1.05,55.3833333333333
14,United States,1.24711,0.54604,0.40105,15,7.119,2015,US,32.26,83.65,106.14,93.05,47.47,10.36,0.68,1.86834015159393,-9,-9,44.5783333333333
15,Brazil,1.23287,0.49049,0.14574,16,6.983,2015,BR,25.8,78,114.9,87,34.8,11.6,1.8,1.77,0.8634,1.05,39.8333333333333
16,Luxembourg,1.21963,0.61583,0.28034,17,6.946,2015,LU,5.3,33.7,88.5,112.9,67,14.3,0.7,1.6114,0.7829,1.0581,38.9833333333333
17,Ireland,1.36948,0.61777,0.45901,18,6.94,2015,EI,17.6,51.8,86.1,129.9,94.4,17.6,1,1.9919,0.9684,1.057,52.05
18,Belgium,1.28566,0.5845,0.2225,19,6.937,2015,BE,9,54.6,124.2,113.4,47.4,8.6,0.4,1.7838,0.8706,1.049,38.9
19,United Arab Emirates,1.12575,0.64157,0.26428,20,6.901,2015,AE,20.9,77.3,86.3,75.1,54.6,29.1,11.7,1.7754,0.8619,1.0599,44.7833333333333
20,United Kingdom,1.28548,0.59625,0.51912,21,6.867,2015,UK,24.7,70.7,102.9,111.6,56.9,10.8,0.6,1.8914,0.9218,1.0519,45.8833333333333
21,Oman,1.08182,0.63274,0.21542,22,6.853,2015,MU,37.2,115.5,159,134,73.8,34.5,16.9,2.8552,1.3928,1.05,68.65
22,Venezuela,1.25596,0.42908,0.05841,23,6.81,2015,VE,85.7,120.8,112.4,87.9,47.6,16.8,2.9,2.37,1.1561,1.05,60.2833333333333
23,Singapore,1.02,0.54252,0.31105,24,6.798,2015,SN,3.4,11.4,39.3,65.6,36.1,5.8,0.3,0.8093,0.3904,1.0729,20.4333333333333
24,Panama,1.1985,0.5421,0.24434,25,6.786,2015,PM,76.5,129.9,115.9,88.3,44.1,13,2.3,2.35,1.1492,1.0449,59.0166666666667
25,Germany,1.29937,0.61477,0.28214,26,6.75,2015,GM,7.9,43.6,85.3,94.6,46.9,8.7,0.4,1.4354,0.6986,1.0547,33.6833333333333
26,Chile,1.12447,0.44132,0.33363,27,6.67,2015,CI,34.1,75.5,105.9,90.3,43.9,12.9,1.3,1.82,0.891,1.0425,43
27,Qatar,1.0786,0.6404,0.32573,28,6.611,2015,QA,12.4,82.8,104.5,90.5,61.4,25.9,4.2,1.9084,0.9428,1.0241,46.2
28,France,1.26038,0.55011,0.12332,29,6.575,2015,FR,9.4,60.6,134.4,132.4,63,14.8,1,2.078,1.0148,1.0478,46.8666666666667
29,Argentina,1.24823,0.44974,0.11451,30,6.574,2015,AR,66.4,109.6,107.1,96.3,59.5,17.9,1.4,2.3,1.1133,1.066,58.5166666666667
31,Uruguay,1.2089,0.60362,0.2324,32,6.485,2015,UY,19.5,72,120.2,96.7,40.3,13.4,1.9,1.82,0.8937,1.0365,40.6333333333333
32,Colombia,1.24018,0.53466,0.18401,33,6.477,2015,CO,49.4,97,117,86.6,41.9,14,2,2.04,0.9903,1.06,48.4833333333333
33,Thailand,1.26504,0.55664,0.5763,34,6.455,2015,TH,52.2,108.5,75.7,36.2,18.4,6.3,4.5,1.5084,0.7345,1.0535,37.6833333333333
34,Saudi Arabia,1.08393,0.31048,0.13706,35,6.411,2015,SA,2.8,36.8,104.1,110,98.8,57.5,33.4,2.2171,1.0815,1.05,56.55
35,Spain,1.31379,0.45951,0.18227,36,6.329,2015,SP,13.4,40.9,72.2,100.2,58.5,11.5,0.8,1.4881,0.7206,1.065,37.55
36,Malta,1.30203,0.60365,0.51752,37,6.302,2015,MT,11,36.4,85.9,102.9,45.1,8.7,0.3,1.4531,0.7113,1.043,34.0666666666667
37,Taiwan,1.07617,0.3974,0.25376,38,6.298,2015,TW,5,28.7,68.6,81,34.9,5,0,1.1158,0.5392,1.0693,25.7666666666667
38,Kuwait,1.16594,0.55499,0.16228,39,6.295,2015,KU,14.5,105.3,150.7,121.5,75.3,25.3,4.4,2.4843,1.2138,1.0467,57.7166666666667
39,Suriname,0.972,0.59657,0.16991,40,6.269,2015,NS,31.8,83.1,122.9,97,43,13.6,1.6,1.97,0.961,1.05,45.0166666666667
40,Trinidad and Tobago,1.18354,0.55884,0.31844,41,6.168,2015,TD,10.5,63.8,118.3,96.1,38.2,13,2.1,1.7104,0.8433,1.0281,37.2833333333333
41,El Salvador,1.02507,0.4035,0.10692,42,6.13,2015,ES,31,81.9,118,92.6,41.1,15.4,2,1.91,0.9317,1.05,44
42,Guatemala,1.04356,0.57733,0.27489,43,6.123,2015,GT,91,168.1,147.3,115.7,68.2,26.7,3,3.1,1.5122,1.05,78.7833333333333
43,Uzbekistan,1.34043,0.65821,0.22837,44,6.003,2015,UZ,10.1,79.1,123.1,95.5,37.2,10.7,4.7,1.788,0.868,1.06,39.55
44,Slovakia,1.26999,0.31751,0.16893,45,5.995,2015,LO,20.5,50.5,90.4,79.1,32,5.6,0.9,1.394,0.6743,1.0673,31.4333333333333
45,Japan,1.25712,0.49615,0.10705,46,5.987,2015,JA,6,42,93.9,92.8,38.9,6.7,0.4,1.4037,0.6827,1.056,31.1333333333333
47,Ecuador,0.99903,0.48574,0.11541,48,5.975,2015,EC,41.2,104.4,126.7,101.4,51.7,20.5,4.1,2.25,1.0976,1.05,53.8833333333333
48,Bahrain,1.21624,0.45492,0.17362,49,5.96,2015,BA,13.1,78.3,115.4,87.3,43.4,16.7,2.2,1.7816,0.8788,1.0273,40.1666666666667
49,Italy,1.19777,0.26236,0.22823,50,5.948,2015,IT,7.1,35.4,74.4,95.9,58.5,12.8,0.7,1.426,0.6926,1.059,35.0666666666667
50,Bolivia,0.97841,0.57414,0.20536,51,5.89,2015,BL,45.6,120.8,147.4,119.6,74.6,31.3,6.8,2.73,1.3317,1.05,66.45
51,Moldova,1.01528,0.32818,0.20951,52,5.889,2015,MD,28.1,95.1,98.1,59.9,25,5.3,0.4,1.5595,0.7556,1.064,35.6333333333333
52,Paraguay,1.30477,0.53899,0.3424,53,5.878,2015,PA,18.5,74.8,126.2,100.9,41.6,16.2,3.8,1.91,0.9317,1.05,42.6333333333333
53,Kazakhstan,1.12241,0.51649,0.11827,54,5.855,2015,KZ,24.5,125.7,141.1,104.1,51.4,14.5,0.8,2.31,1.1927,0.9368,53.5
54,Slovenia,1.27385,0.60855,0.25328,55,5.848,2015,SI,4.6,41.8,109.1,105.3,43.4,8.4,0.3,1.5596,0.7583,1.0567,33.9666666666667
55,Lithuania,1.25745,0.21342,0.02641,56,5.833,2015,LH,15.9,61.1,109.5,88.8,36.9,7,0.4,1.5866,0.7713,1.057,35.0166666666667
56,Nicaragua,1.14184,0.55475,0.27815,57,5.828,2015,NU,33,83.6,120.4,93.6,42.1,13.2,2,1.94,0.9463,1.05,44.5833333333333
57,Peru,0.97459,0.41496,0.14982,58,5.824,2015,PE,37.3,97.6,119.7,102.1,55.9,19.7,3.7,2.18,1.0656,1.0458,52.7166666666667
58,Belarus,1.23289,0.37938,0.11046,59,5.813,2015,BO,19.6,84,97.9,63.4,24.2,4.8,0.3,1.4711,0.7141,1.06,32.7166666666667
59,Poland,1.27948,0.53122,0.16759,60,5.791,2015,PL,13.6,53.5,90.5,71.6,30.3,6.5,0.7,1.3273,0.6445,1.0594,29.3666666666667
60,Malaysia,1.07023,0.53024,0.33075,61,5.77,2015,MY,12.9,94.8,165.5,138.7,71.6,23.8,2.8,2.55,1.2322,1.0694,57.4333333333333
61,Croatia,0.79624,0.25883,0.05444,62,5.759,2015,HR,10,46.4,88.9,84.1,38.3,8.2,0.5,1.3784,0.6686,1.0615,31.25
62,Libya,1.11862,0.41668,0.18295,63,5.754,2015,LY,8.6,60.1,121.5,115.2,69.2,30.6,4.8,2.05,1,1.05,48.0833333333333
63,Russia,1.23617,0.36679,0.00199,64,5.716,2015,RS,26.4,84.4,101.4,71,30.4,6.9,0.6,1.6055,0.7794,1.06,36.6166666666667
64,Jamaica,1.15102,0.50442,0.2123,65,5.709,2015,JM,58.5,97.7,118,76.6,55,15.4,2.8,2.12,1.0341,1.05,51
66,Cyprus,0.89318,0.40672,0.30638,67,5.689,2015,CY,8.9,50.5,105.7,85.9,33.8,6.9,0.8,1.4622,0.7133,1.05,31.1333333333333
67,Algeria,1.07772,0.28579,0.07822,68,5.605,2015,AG,16.6,101.4,160.9,143.8,87,39.6,7.4,2.7836,1.3562,1.0524,65.9666666666667
68,Kosovo,0.81198,0.24749,0.2831,69,5.589,2015,KV,10.5,84,144.3,117.2,47.6,13.1,1.7,2.0921,1.0045,1.0827,45.6833333333333
69,Turkmenistan,1.22668,0.4761,0.16979,70,5.548,2015,TX,15.6,100.8,143.2,101,41.5,13.9,2,2.09,1.0195,1.05,45.8
70,Mauritius,0.98521,0.56066,0.37744,71,5.477,2015,MP,15.2,74.1,119.2,92.5,37.2,12.1,1.7,1.76,0.8585,1.05,38.8
71,Hong Kong,1.05818,0.59608,0.39478,72,5.474,2015,HK,3.1,26,62.3,84.8,50.7,8.5,0.4,1.1789,0.5573,1.1155,28.9166666666667
72,Estonia,1.22791,0.44888,0.0868,73,5.429,2015,EN,15.1,58.8,99,88.7,46.6,11.4,0.9,1.5927,0.7777,1.0479,36.9166666666667
73,Indonesia,1.08708,0.46611,0.51535,74,5.399,2015,ID,31.5,96,130.8,101,49.6,17.5,3.7,2.15,1.0488,1.05,49.8833333333333
74,Vietnam,0.91226,0.59444,0.1686,75,5.36,2015,VM,19.1,82.3,127.8,89.7,34.1,11.2,1.6,1.83,0.8673,1.11,39.6666666666667
75,Turkey,0.94632,0.22815,0.12253,76,5.332,2015,TU,26.5,101.9,128.3,96.4,44,11.3,1.6,2.05,1,1.05,46.95
76,Kyrgyzstan,1.15115,0.43477,0.3003,77,5.286,2015,KG,26.8,156.7,153.4,113.1,60.3,18.9,2.8,2.66,1.2869,1.067,63.1
77,Nigeria,0.90432,0.34334,0.27233,78,5.268,2015,NI,107.8,211.8,253.6,211.5,141.6,64,19.8,5.05,2.4515,1.06,126.083333333333
78,Bhutan,1.10395,0.53206,0.47998,79,5.253,2015,BT,17.3,85.1,128.1,97.4,43.6,18.3,4.2,1.97,0.961,1.0499,44.3166666666667
79,Azerbaijan,0.93793,0.3703,0.07799,80,5.212,2015,AJ,37.2,135,116,61.7,24,6.4,0.9,1.9057,0.9023,1.1121,44.2
80,Pakistan,0.41411,0.12102,0.33671,81,5.194,2015,PK,32.6,117.2,166,131.6,66.5,27.9,8.2,2.75,1.3415,1.05,64
81,Jordan,1.05392,0.40661,0.11053,82,5.192,2015,JO,23.8,125,190.7,163.2,97.9,30.8,3.1,3.1727,1.5401,1.06,73.9666666666667
82,Montenegro,0.90557,0.1826,0.1614,82,5.192,2015,MJ,11,67,118.9,99.3,46.1,9.9,1.3,1.7671,0.8417,1.0995,39.1
83,China,0.94675,0.51697,0.08185,84,5.14,2015,CH,9,60.3,110.5,90,34.9,10.5,5.1,1.6,0.7456,1.146,34.9666666666667
84,Zambia,0.91612,0.48827,0.19591,85,5.129,2015,ZA,117,264.2,261.2,223.6,170.8,83.5,23.6,5.72,2.8177,1.03,147.116666666667
85,Romania,0.88588,0.35068,0.13748,86,5.124,2015,RO,28.4,67.3,84.1,57,22.1,5,1.2,1.3279,0.6446,1.06,30.1666666666667
86,Serbia,1.00964,0.20107,0.19231,87,5.123,2015,RI,23.4,77.8,92,64.1,24.2,3.9,0.3,1.4298,0.6924,1.065,32.2833333333333
87,Portugal,1.13935,0.51469,0.13719,88,5.102,2015,PO,16.6,44,83.1,80.9,31.9,3.5,0.1,1.3123,0.6418,1.0447,29.5
88,Latvia,1.09562,0.29671,0.18226,89,5.098,2015,LG,14.3,54.1,91.9,85.2,44.9,10.8,0.6,1.5029,0.7331,1.0501,34.9833333333333
89,Philippines,1.03516,0.62545,0.24991,90,5.073,2015,RP,50.5,146.9,159.8,130.6,81.9,41.3,7.1,3.09,1.5073,1.05,76.3833333333333
91,Morocco,0.64095,0.41691,0.07172,92,5.013,2015,MO,21.5,83.7,126.9,110,57.7,22.8,3.3,2.13,1.039,1.05,49.8333333333333
92,Macedonia,1.00232,0.33457,0.22359,93,5.007,2015,MK,14.8,65.1,100.8,78.5,29.2,5.3,0.8,1.4713,0.7088,1.0758,32.2833333333333
93,Mozambique,1.02626,0.34037,0.22269,94,4.971,2015,MZ,108.1,210.3,221.5,198.8,155.9,91.8,55.6,5.21,2.583,1.017,136.75
94,Albania,0.80434,0.35733,0.14272,95,4.959,2015,AL,10.9,74.6,105,71.5,30.1,7.1,1,1.5008,0.7147,1.1,32.5333333333333
95,Bosnia and Herzegovina,0.91916,0.09245,0.24808,96,4.949,2015,BK,14.5,64.8,89.2,60.5,21,4.6,0.9,1.2723,0.614,1.072,27.7166666666667
96,Lesotho,1.04103,0.31767,0.16388,97,4.898,2015,LT,28.5,115.1,148.7,123.9,75.8,39.5,12.5,2.7201,1.34,1.03,65.8833333333333
97,Dominican Republic,1.17202,0.57672,0.21684,98,4.885,2015,DR,75,134.5,121.3,83,39.6,11.4,1.2,2.33,1.1422,1.04,57.45
98,Laos,0.73803,0.59591,0.42192,99,4.876,2015,LA,49.2,124.7,166,133,66.3,23.6,1.2,2.82,1.3823,1.04,66.3333333333333
99,Mongolia,1.3006,0.43626,0.3323,100,4.874,2015,MG,16.8,115.4,131.7,94.6,57.1,17,2.4,2.175,1.061,1.05,50.55
101,Greece,0.92933,0.07699,0,102,4.857,2015,GR,10.4,55.3,97.9,79.4,30.7,6.9,2.1,1.4151,0.6856,1.064,30.8
102,Lebanon,0.80001,0.33916,0.21854,103,4.839,2015,LE,10.9,65.2,118.8,96.3,39.1,13.5,2.2,1.73,0.8439,1.05,37.8666666666667
103,Hungary,1.20215,0.32112,0.128,104,4.8,2015,HU,18.1,53.1,92.9,81.6,32.6,6.6,0.2,1.4276,0.694,1.057,32.0333333333333
104,Honduras,0.95348,0.40148,0.23027,105,4.788,2015,HO,51.9,122.8,148.5,120.2,72.6,34.6,5.3,2.78,1.3561,1.05,67.9
105,Tajikistan,0.85563,0.47216,0.22974,106,4.786,2015,TI,32.1,158.4,159.7,120,53.4,16,2.5,2.71,1.322,1.05,63.7333333333333
106,Tunisia,0.60429,0.26268,0.06431,107,4.739,2015,TS,8.4,62.2,144,133,92.4,26.3,2.2,2.3433,1.1353,1.064,54.0833333333333
108,Bangladesh,0.43106,0.4082,0.21222,109,4.694,2015,BG,51.9,100.9,129.6,97.8,43.3,16.2,2.4,2.21,1.0833,1.04,52.0833333333333
109,Iran,0.54447,0.30033,0.38086,110,4.686,2015,IR,34.9,94.7,109.4,91.1,51.6,13.5,1.2,1.9818,0.9667,1.05,47.8333333333333
110,Ukraine,1.20278,0.25123,0.15275,111,4.681,2015,UP,29.9,95.6,92,59.1,25.6,4.5,0.2,1.5349,0.7437,1.064,35.8166666666667
111,Iraq,0.81889,0,0.17922,112,4.677,2015,IZ,70.9,194,218.6,176.2,115.8,42.3,6.3,4.12,2.0098,1.05,100.916666666667
112,South Africa,1.18468,0.33207,0.11973,113,4.642,2015,SF,43.2,105.3,121,102,62.1,25.8,6.5,2.33,1.1535,1.02,57.4833333333333
113,Ghana,0.67954,0.42342,0.23087,114,4.633,2015,GH,67.7,163.2,199.9,177.3,118.1,71.9,13.5,4.0584,1.9992,1.03,101.95
114,Zimbabwe,1.03276,0.25861,0.18987,115,4.61,2015,ZI,110,204,201,147,102,34,6,4.02,1.9803,1.03,100.5
115,Liberia,0.78968,0.28531,0.24362,116,4.571,2015,LI,143.8,222.9,218.9,195.6,143.5,86.1,21.2,5.16,2.5419,1.03,135.516666666667
116,India,0.38174,0.39786,0.26475,117,4.565,2015,IN,35.3,167.3,153.9,83.9,36.3,14.4,4.9,2.48,1.1698,1.12,57.0166666666667
117,Sudan,1.01404,0.10081,0.19062,118,4.55,2015,SU,84.2,201.8,253.9,221.3,155.6,68.9,22.2,5.0392,2.4581,1.05,125.666666666667
118,Haiti,0.74302,0.24425,0.46187,119,4.518,2015,HA,41.1,113.9,143.5,131.3,87.5,44.9,9.8,2.86,1.4222,1.011,71.4166666666667
119,Congo (Kinshasa),1.0012,0.22605,0.24834,120,4.517,2015,CG,81.1,185.7,218.7,210.3,138.1,77.6,20.5,4.66,2.2956,1.03,118.883333333333
120,Nepal,0.86449,0.38282,0.32296,121,4.514,2015,NP,46.6,118.4,128.9,89.8,42.3,16.9,3.2,2.23,1.0825,1.06,52.8666666666667
121,Ethiopia,0.60406,0.4345,0.24325,122,4.512,2015,ET,95.8,213,242.7,206.8,154.9,91.1,25.7,5.15,2.5369,1.03,131.216666666667
122,Sierra Leone,0.95571,0.4084,0.21488,123,4.507,2015,SL,133.5,207.2,207.5,178.3,135,65.6,32.9,4.8,2.3645,1.03,125.416666666667
123,Mauritania,0.86908,0.24232,0.219,124,4.436,2015,MR,69.6,146.6,181.3,172.1,122.2,75.1,33.1,4,1.9704,1.03,103.116666666667
124,Kenya,0.99876,0.42215,0.37542,125,4.419,2015,KE,60.5,152.3,177.9,146.1,81.2,34.6,8.9,3.307,1.6371,1.02,80.6
125,Djibouti,0.59207,0.46074,0.18093,126,4.369,2015,DJ,14.3,79.3,141.5,129,70,32.4,11.6,2.3901,1.1774,1.03,56.1
126,Armenia,0.77711,0.19847,0.07855,127,4.35,2015,AM,24.4,124.4,99.7,52.1,20.1,6.4,0.4,1.6378,0.7686,1.1307,37.9666666666667
127,Botswana,1.10464,0.49495,0.10461,128,4.332,2015,BC,32.7,121.8,132.9,112.5,78.7,38.1,11.4,2.64,1.3005,1.03,65.8666666666667
129,Georgia,0.38562,0.40577,0.05547,130,4.297,2015,GG,38.2,106.9,100.1,68.8,30,7.9,0.8,1.764,0.849,1.0778,42.1
130,Malawi,0.41134,0.43054,0.33128,131,4.292,2015,MI,145.9,266,247.2,199.2,146.2,80.9,34.7,5.6,2.7792,1.015,145.483333333333
131,Sri Lanka,1.01905,0.53726,0.40828,132,4.271,2015,CE,16.5,88.7,138,109,50.3,16.1,2.4,2.1043,1.0315,1.04,47.1666666666667
132,Cameroon,0.88767,0.49309,0.20618,133,4.252,2015,CM,112,213.8,231,189.9,128.2,62.2,15,4.76,2.3448,1.03,120.183333333333
133,Bulgaria,1.10614,0.30587,0.11921,134,4.218,2015,BU,39.8,71.2,85.3,62,26.3,5.1,0.6,1.4502,0.7033,1.062,34.1666666666667
134,Egypt,0.747,0.17288,0.11291,135,4.194,2015,EG,60.7,217.2,210.8,138.4,70.3,18.1,3.2,3.5938,1.7409,1.0643,84.65
135,Yemen,0.68093,0.35571,0.09131,136,4.077,2015,YM,53.1,156.9,203.9,178.1,112.1,53.3,24.6,3.91,1.9073,1.05,96.35
136,Angola,0.8604,0.10384,0.12344,137,4.033,2015,AO,164.6,264.2,281.1,248.5,188.2,91,21.2,6.2936,3.1003,1.03,162.95
137,Mali,1.03526,0.38857,0.18798,138,3.995,2015,ML,170.2,272.1,269.4,232.8,186.5,84.3,28.4,6.2187,3.0634,1.03,162.383333333333
138,Congo (Brazzaville),0.6629,0.41466,0.12388,139,3.989,2015,CF,135.6,200.5,210.6,188.6,137.9,52.4,10.3,4.68,2.3054,1.03,120.883333333333
139,Comoros,0.79273,0.22917,0.17441,140,3.956,2015,CN,54.2,156.9,195.9,160.1,88,37.2,27.7,3.6,1.7734,1.03,87.35
140,Uganda,1.13299,0.45727,0.29066,141,3.931,2015,UG,141.9,268.8,272.8,234.5,165.5,91.7,2.9,5.89,2.9015,1.03,150.883333333333
141,Senegal,0.97619,0.36772,0.20843,142,3.904,2015,SG,77.5,172.5,214.4,195.3,140.4,72,15.9,4.44,2.1872,1.03,112.266666666667
142,Gabon,0.90528,0.31914,0.06822,143,3.896,2015,GB,95.8,151.3,174.9,156.2,102.3,48.5,7,3.68,1.8128,1.03,93.5166666666667
143,Niger,0.77265,0.47692,0.19387,144,3.845,2015,NG,188.9,285.2,289.8,255.7,186.2,110.5,34.8,6.7559,3.328,1.03,176.883333333333
144,Cambodia,0.62736,0.66246,0.40359,145,3.819,2015,CB,29.5,122.1,150.7,120.3,66,27.8,3.6,2.6,1.2714,1.045,61.55
145,Tanzania,1.00268,0.32878,0.34377,146,3.781,2015,TZ,100.5,231.3,229.9,190.8,143.1,63.4,19.1,4.89,2.4089,1.03,124.7
146,Madagascar,0.66801,0.19184,0.21333,147,3.681,2015,MA,98.9,188,198.5,169.5,110.7,61.7,12.7,4.2,2.069,1.03,106.916666666667
147,Central African Republic,0,0.48879,0.23835,148,3.678,2015,CT,123.1,201.4,212,175.6,101.3,50.2,18.4,4.4101,2.1725,1.03,111.666666666667
148,Chad,0.76062,0.23501,0.18386,149,3.667,2015,CD,171.2,280.4,285.8,246.7,164.8,73.1,23.9,6.23,3.0539,1.04,160.016666666667
149,Guinea,0.46475,0.37725,0.28657,150,3.656,2015,GV,145,205.9,223.2,197.2,138.3,72.6,31.8,5.07,2.4975,1.03,131.8
151,Burkina Faso,0.85188,0.39493,0.21747,152,3.587,2015,UV,122.4,228.9,243.3,202.9,138.4,76.6,19.5,5.16,2.5419,1.03,131.45
152,Afghanistan,0.30285,0.23414,0.3651,153,3.575,2015,AF,83.7,213.4,259.9,217.9,155.8,88.2,46.4,5.326,2.598,1.05,134.233333333333
153,Rwanda,0.7737,0.59201,0.22628,154,3.465,2015,RW,35.8,164.6,212.7,185.1,135.9,74.3,11.7,4.1,2.0197,1.03,101.233333333333
154,Benin,0.35386,0.4845,0.1826,155,3.34,2015,BN,93,213.4,241.5,206.3,137.6,73.9,24.4,4.95,2.4146,1.05,124.766666666667
155,Syria,0.47489,0.15684,0.47179,156,3.006,2015,SY,27.4,99.8,155.1,128.1,72.1,31.5,6,2.6,1.2621,1.06,60.8166666666667
156,Burundi,0.41587,0.1185,0.19727,157,2.905,2015,BY,61.5,267.3,290.4,258.1,213.2,98.3,29.2,6.09,3,1.03,154.6
157,Togo,0.13995,0.36453,0.16681,158,2.839,2015,TO,69.3,183.9,218.1,184.8,138.6,73,28.3,4.48,2.2069,1.03,112.983333333333
158,Denmark,1.16374,0.57941,0.36171,1,7.526,2016,DA,3.5,35.4,116.3,128,61,11.5,0.6,1.7873,0.8654,1.0653,40
159,Switzerland,1.14524,0.58557,0.28083,2,7.509,2016,SZ,3.1,31.2,80.8,113.3,67.4,13.7,0.8,1.5519,0.7537,1.059,38.25
160,Iceland,1.18326,0.56624,0.47678,3,7.501,2016,IC,10.8,75.4,139.2,113.3,44.7,13.4,6.2,2.01,0.9827,1.0454,43.9666666666667
161,Norway,1.1269,0.59609,0.37895,4,7.498,2016,NO,6,51.9,118.1,124.8,59.5,10.3,0.6,1.8558,0.9031,1.0549,42.1833333333333
162,Finland,1.13464,0.57104,0.25492,5,7.413,2016,FI,7.2,51,105.6,114.1,58.4,13.3,0.6,1.7487,0.8547,1.046,40.7666666666667
163,Canada,1.0961,0.5737,0.44834,6,7.404,2016,CA,13.8,53.3,101.9,101.4,41.7,7.1,0.3,1.5972,0.7767,1.0563,36.2666666666667
164,Netherlands,1.02912,0.55211,0.47416,7,7.339,2016,NL,3.8,33.8,103.7,137.7,66.1,10.7,0.4,1.7812,0.8685,1.051,42.0833333333333
165,New Zealand,1.17278,0.58147,0.49401,8,7.334,2016,NZ,27.7,70.4,107.1,124.1,63.2,12.3,0.6,2.0286,0.9905,1.048,49.7166666666667
166,Australia,1.10476,0.56837,0.47407,9,7.313,2016,AS,16.5,52.9,96.5,116.8,59,11.2,0.5,1.7669,0.8598,1.055,42.8166666666667
167,Sweden,1.08764,0.58218,0.38254,10,7.291,2016,SW,3.4,41.9,103.5,133.7,75.8,16.7,1.2,1.8807,0.914,1.0575,45.45
168,Israel,0.99537,0.36432,0.32288,11,7.267,2016,IS,14.8,103.3,166.7,147.8,78,20,1.8,2.662,1.2985,1.05,60.95
169,Austria,1.08383,0.54355,0.32865,12,7.119,2016,AU,8.7,45.5,89.8,92.8,47.7,8.7,0.5,1.4653,0.7137,1.053,33.9833333333333
170,United States,1.04782,0.48163,0.41077,13,7.104,2016,US,32.38,83.79,106.11,92.95,47.27,10.42,0.68,1.86822720352267,-9,-9,44.5816666666667
171,Costa Rica,1.02152,0.55225,0.22553,14,7.087,2016,CS,54.9,101.5,103.6,73,33.6,9.9,1,1.897,0.9254,1.05,45.65
