index,Country,Family,Freedom,Generosity,Happiness Rank,Happiness Score,Year,country_code,fertility_rate_15_19,fertility_rate_20_24,fertility_rate_25_29,fertility_rate_30_34,fertility_rate_35_39,fertility_rate_40_44,fertility_rate_45_49,total_fertility_rate,gross_reproduction_rate,sex_ratio_at_birth,fertility_rate_avg
338,Argentina,1.44045114517212,0.494519203901291,0.109457060694695,24,6.59899997711182,2017,AR,63,106.8,107.7,96.3,58.2,17.6,1.4,2.264,1.0958,1.066,57.2166666666667
339,Mexico,1.210862159729,0.412730008363724,0.120990432798862,25,6.57800006866455,2017,MX,53.1,119.2,121.7,91.5,45.6,14.4,2.2,2.2384,1.0919,1.05,54.3333333333333
340,Singapore,1.35381436347961,0.549840569496155,0.345965981483459,26,6.57200002670288,2017,SN,3.4,11.7,40.3,67.4,37.1,6,0.3,0.8317,0.4012,1.0729,20.9833333333333
341,Malta,1.48841166496277,0.588767051696777,0.574730575084686,27,6.52699995040894,2017,MT,11.3,36.7,87.2,103.8,45.3,8.8,0.3,1.4683,0.7187,1.0431,34.3666666666667
342,Uruguay,1.41222786903381,0.57939225435257,0.175096929073334,28,6.4539999961853,2017,UY,18,70.5,119.8,96.6,39.9,13.3,1.9,1.8,0.8839,1.0365,40.0333333333333
343,Guatemala,1.25558519363403,0.531310617923737,0.283488392829895,29,6.4539999961853,2017,GT,82.2,156.7,144.2,113.6,64.9,25.2,2.9,2.948,1.438,1.05,74.25
344,Panama,1.37319254875183,0.550026834011078,0.21055693924427,30,6.4520001411438,2017,PM,75,127.2,113.6,86.5,43.2,12.7,2.2,2.302,1.1257,1.0449,57.8
345,France,1.38777685165405,0.470222115516663,0.129762306809425,31,6.44199991226196,2017,FR,9.3,60.3,133.9,131.8,62.8,14.8,1,2.0694,1.0105,1.0478,46.6666666666667
346,Thailand,1.42579245567322,0.580200731754303,0.572123110294342,32,6.42399978637695,2017,TH,49.7,105.9,78.2,39.6,19.5,6.6,4.3,1.5194,0.7399,1.0535,37.6
348,Spain,1.53209090232849,0.408781230449677,0.190133571624756,34,6.40299987792969,2017,SP,13.4,41.2,72.6,101,58.6,11.4,0.8,1.4957,0.7243,1.065,37.7333333333333
349,Qatar,1.27429687976837,0.604130983352661,0.330473870038986,35,6.375,2017,QA,12.2,82.5,104.8,89.9,60.3,25.6,4.1,1.8965,0.937,1.0241,45.7666666666667
350,Colombia,1.4021829366684,0.477487415075302,0.149014472961426,36,6.35699987411499,2017,CO,44.8,93,117.1,87.7,41.5,13.9,2,2,0.9709,1.06,47.15
351,Saudi Arabia,1.28667759895325,0.449750572443008,0.147616013884544,37,6.3439998626709,2017,SA,2.7,34.8,98.2,104.4,93.5,54.3,31.2,2.0949,1.0219,1.05,53.4833333333333
352,Trinidad and Tobago,1.3802285194397,0.518630743026733,0.325296461582184,38,6.16800022125244,2017,TD,10.3,63.5,118.2,96.1,38.1,13,2.1,1.7064,0.8414,1.0281,37.1833333333333
353,Kuwait,1.25969874858856,0.496337592601776,0.228289797902107,39,6.10500001907349,2017,KU,14.2,100.9,146.7,117.3,72.3,24,4.2,2.3982,1.1718,1.0465,55.4833333333333
354,Slovakia,1.50505924224854,0.295817464590073,0.136544480919838,40,6.09800004959106,2017,LO,20.3,51.3,92.1,80,31.9,5.9,1.1,1.4115,0.6828,1.0673,31.75
355,Bahrain,1.32311046123505,0.536746919155121,0.172668486833572,41,6.08699989318848,2017,BA,13.5,75.7,114.2,86.8,41.9,15.7,2.2,1.7501,0.8632,1.0274,39.3
356,Malaysia,1.28464603424072,0.402264982461929,0.416608929634094,42,6.08400011062622,2017,MY,12.8,93,162.8,136.3,69.7,23.2,2.8,2.502,1.209,1.0694,56.3
357,Nicaragua,1.28721570968628,0.447551846504211,0.301674216985703,43,6.07100009918213,2017,NU,28.4,79.5,119.9,94.1,41.3,13.2,2,1.892,0.9229,1.05,43.0833333333333
358,Ecuador,1.28616881370544,0.4551981985569,0.150112465023994,44,6.00799989700317,2017,EC,37.6,99.6,125.7,100.7,50.1,19.6,3.9,2.186,1.0663,1.05,51.9166666666667
359,El Salvador,1.18212509155273,0.432452529668808,0.0782579854130745,45,6.00299978256226,2017,ES,26.6,77.9,118,93.3,40.5,14.9,2,1.866,0.9102,1.05,42.5333333333333
360,Poland,1.44571197032928,0.520342111587524,0.158465966582298,46,5.97300004959106,2017,PL,13.3,54.2,92.1,72.1,30.7,6.8,1,1.3486,0.6549,1.0594,29.6833333333333
361,Uzbekistan,1.54896914958954,0.658248662948608,0.415983647108078,47,5.97100019454956,2017,UZ,9.7,74.9,121.5,96,37.6,10.9,5,1.764,0.8563,1.06,39.0166666666667
362,Italy,1.44492328166962,0.256450712680817,0.17278964817524,48,5.96400022506714,2017,IT,7.2,35.7,75.2,96.9,59.4,12.7,0.7,1.4417,0.7002,1.059,35.4333333333333
363,Russia,1.46928238868713,0.373783111572266,0.0522638224065304,49,5.96299982070923,2017,RS,26.4,84.4,101.4,70.9,30.4,6.9,0.6,1.6052,0.7792,1.06,36.6
364,Belize,1.08141779899597,0.547509372234344,0.240015640854836,50,5.95599985122681,2017,BH,50.7,132.9,163.5,128.1,66.5,25.4,2.9,2.85,1.3903,1.05,67.75
365,Japan,1.43633782863617,0.505625545978546,0.12057276815176,51,5.92000007629395,2017,JA,6.2,43,94.9,92.6,38.8,7.1,0.5,1.4149,0.6882,1.056,31.3666666666667
366,Lithuania,1.47351610660553,0.234231784939766,0.010164656676352,52,5.90199995040894,2017,LH,15.8,60.6,109.9,88.8,37.1,7.2,0.7,1.5931,0.7745,1.057,35.0333333333333
367,Algeria,1.1462174654007,0.233335807919502,0.0694366469979286,53,5.87200021743774,2017,AG,16.2,98.6,157.8,140.3,83.4,37.7,7,2.7042,1.3176,1.0524,63.8666666666667
368,Latvia,1.40471494197845,0.325707912445068,0.153074786067009,54,5.84999990463257,2017,LG,13.9,54.5,93,85.5,45.6,11,0.6,1.5142,0.7386,1.05,35.1833333333333
370,Moldova,1.25182557106018,0.240729048848152,0.208779126405716,56,5.83799982070923,2017,MD,27.1,93.2,99.2,62,25.8,5.7,0.5,1.5676,0.7595,1.064,35.7166666666667
371,Romania,1.15009129047394,0.457003742456436,0.133519917726517,57,5.82499980926514,2017,RO,27.8,66.7,85.1,60.3,22.7,5.4,1.3,1.3492,0.655,1.06,30.7
372,Bolivia,1.22761905193329,0.558732926845551,0.22556072473526,58,5.82299995422363,2017,BL,42.2,115.1,144.5,117.3,71,29.5,6.3,2.63,1.2829,1.05,63.5666666666667
373,Turkmenistan,1.49314916133881,0.41827192902565,0.24992498755455,59,5.82200002670288,2017,TX,15.3,98.9,141.9,100.7,41.3,13.8,2,2.07,1.0098,1.05,45.3333333333333
374,Kazakhstan,1.38436901569366,0.437454283237457,0.201964423060417,60,5.81899976730347,2017,KZ,23.1,119.5,138.8,103.3,50.1,14.3,0.9,2.25,1.1617,0.9368,51.8666666666667
376,Slovenia,1.45251882076263,0.572575807571411,0.242649093270302,62,5.75799989700317,2017,SI,4.3,41,110.2,106.5,44.4,9.1,0.6,1.5764,0.7732,1.0389,34.3166666666667
377,Peru,1.21877038478851,0.450002878904343,0.126819714903831,63,5.71500015258789,2017,PE,34.2,93.6,119.5,101.4,53.8,18.9,3.5,2.124,1.0382,1.0458,50.9
378,Mauritius,1.20956099033356,0.491247326135635,0.360933750867844,64,5.62900018692017,2017,MP,14.1,71.9,119,93.2,37.4,12.2,1.8,1.748,0.8527,1.05,38.4333333333333
379,Cyprus,1.13136327266693,0.355111539363861,0.271254301071167,65,5.62099981307983,2017,CY,8.9,50.8,106,86.1,34,7,0.8,1.4678,0.716,1.0499,31.2666666666667
380,Estonia,1.47667109966278,0.479131430387497,0.0988908112049103,66,5.61100006103516,2017,EN,14.2,58.6,100.7,88.8,46.2,11.4,1.2,1.5988,0.7807,1.0479,36.7333333333333
381,Belarus,1.44494521617889,0.295400261878967,0.15513750910759,67,5.56899976730347,2017,BO,19.1,82.9,98.9,65,24.9,5.2,0.4,1.4826,0.7197,1.06,32.9166666666667
382,Libya,1.35756433010101,0.465733230113983,0.152073666453362,68,5.52500009536743,2017,LY,8.7,60.2,121.4,114.5,68.1,30,4.7,2.038,0.9941,1.05,47.7
383,Turkey,1.33775317668915,0.300740599632263,0.0466930419206619,69,5.5,2017,TU,24.8,97.9,127.3,96.3,43.4,11.5,1.6,2.014,0.9824,1.05,45.9166666666667
384,Paraguay,1.50728487968445,0.473507791757584,0.224150657653809,70,5.49300003051758,2017,PA,18.1,74.3,126.1,101,41.5,16.1,3.7,1.9037,0.9286,1.05,42.45
386,Philippines,1.25391757488251,0.585214674472809,0.193513423204422,72,5.42999982833862,2017,RP,48.5,142.8,157.7,128.9,79.7,39.9,6.8,3.022,1.4741,1.05,74.4333333333333
387,Serbia,1.25818979740143,0.208715528249741,0.220125883817673,73,5.39499998092651,2017,RI,22.7,78.7,92.9,64.3,24.4,4,0.3,1.4385,0.6966,1.065,32.4
388,Jordan,1.23908889293671,0.418421149253845,0.172170460224152,74,5.33599996566772,2017,JO,23.2,125.6,192.9,165.1,98.1,30.3,2.8,3.19,1.5485,1.06,74.1833333333333
389,Hungary,1.34313309192657,0.175863519310951,0.0784016624093056,75,5.32399988174438,2017,HU,18,53.8,94,83.5,32.8,6.4,0.2,1.4459,0.7029,1.057,32.45
390,Jamaica,1.36821806430817,0.474307239055634,0.233818337321281,76,5.31099987030029,2017,JM,56.2,96.1,118,77.5,54.2,15.3,2.8,2.1,1.0244,1.05,50.35
391,Croatia,0.96798300743103,0.255772292613983,0.248002976179123,77,5.29300022125244,2017,HR,10.2,45.6,90.5,84.5,37.9,8.3,0.8,1.3967,0.6775,1.0616,31.2166666666667
392,Kosovo,1.13785350322723,0.260287940502167,0.319931447505951,78,5.27899980545044,2017,KV,10.4,79.9,139.7,113.5,45.9,13.1,1.7,2.0212,0.971,1.0815,44.0833333333333
393,China,1.16083741188049,0.472787708044052,0.0288068410009146,79,5.27299976348877,2017,CH,8.9,60.5,111.7,91.3,36.2,10.5,5,1.6,0.7502,1.1328,35.4
394,Pakistan,0.672690689563751,0.23521526157856,0.315446019172668,80,5.26900005340576,2017,PK,29.8,110.4,160,127.1,63,26,7.4,2.618,1.2771,1.05,60.6166666666667
395,Indonesia,1.27444469928741,0.443323463201523,0.611704587936401,81,5.26200008392334,2017,ID,29.4,92.8,129.5,100.5,48.4,17.1,3.5,2.106,1.0273,1.05,48.6166666666667
396,Venezuela,1.43133759498596,0.153997123241425,0.0650196298956871,82,5.25,2017,VE,80.1,116.5,112.8,88.5,46.8,16.5,2.8,2.32,1.1317,1.05,58.5333333333333
397,Montenegro,1.23837649822235,0.194989055395126,0.197911024093628,83,5.23699998855591,2017,MJ,10.1,64.7,122.2,105.3,51.1,11,1,1.8312,0.8997,1.0353,40.5333333333333
398,Morocco,0.774864435195923,0.408158332109451,0.0322099551558495,84,5.2350001335144,2017,MO,20.9,82.6,126.4,109.2,56.6,22.3,3.3,2.106,1.0273,1.05,49.15
399,Azerbaijan,1.15240025520325,0.398155838251114,0.0452693402767181,85,5.23400020599365,2017,AJ,35.7,130.9,116.1,63.6,24.8,6.7,0.9,1.894,0.9059,1.0908,43.7666666666667
400,Dominican Republic,1.40241670608521,0.55258983373642,0.186967849731445,86,5.23000001907349,2017,DR,71.3,130.4,121.1,83.7,39.5,11.5,1.2,2.294,1.1245,1.04,56.2666666666667
401,Greece,1.23941457271576,0.0957312509417534,0,87,5.22700023651123,2017,GR,10.3,55.6,99,80.3,31,7.1,2.3,1.4317,0.6937,1.064,31.1
402,Lebanon,1.12962424755096,0.288515985012054,0.264450758695602,88,5.22499990463257,2017,LE,10.7,64.6,118.6,96.2,38.8,13.4,2.2,1.722,0.84,1.05,37.65
403,Portugal,1.36704301834106,0.498465299606323,0.0951027125120163,89,5.19500017166138,2017,PO,16.2,44.9,83.4,86.5,37.7,4.6,0.2,1.3767,0.6725,1.0473,31.6833333333333
404,Bosnia and Herzegovina,1.0693359375,0.204403176903725,0.328867495059967,90,5.18200016021729,2017,BK,15,63.4,90.8,62.4,22.2,5,1.2,1.2968,0.6259,1.072,28.2
405,Honduras,1.14394497871399,0.348079860210419,0.236188873648643,91,5.18100023269653,2017,HO,47.6,116.6,145.4,117.7,69,32.4,5,2.668,1.3015,1.05,64.7166666666667
406,Macedonia,1.20789301395416,0.325905978679657,0.25376096367836,92,5.17500019073486,2017,MK,14.2,62.8,100.7,80.2,31.5,5.5,0.6,1.4805,0.7166,1.066,32.4666666666667
407,Somalia,0.721151351928711,0.602126955986023,0.291631311178207,93,5.15100002288818,2017,SO,77.1,241.3,274.5,239.4,188.7,92.9,45.8,5.798,2.8562,1.03,147.533333333333
408,Vietnam,1.27749133110046,0.571055591106415,0.234968051314354,94,5.07399988174438,2017,VM,17.4,78.8,126,90.8,34.8,11.6,1.7,1.806,0.86,1.1,39.1833333333333
409,Nigeria,1.21577048301697,0.394952565431595,0.230947196483612,95,5.07399988174438,2017,NI,103.9,205.9,248.3,207,137.5,62,19.1,4.918,2.3874,1.06,122.566666666667
410,Tajikistan,1.27146327495575,0.471566706895828,0.248997643589973,96,5.04099988937378,2017,TI,30.3,150.8,156.4,118.1,52.2,15.8,2.4,2.63,1.2829,1.05,61.6
411,Bhutan,1.34012651443481,0.501537680625916,0.474054545164108,97,5.01100015640259,2017,BT,15.4,79.4,125.5,97,42.2,16.9,3.6,1.9,0.9268,1.05,42.4166666666667
412,Kyrgyzstan,1.39423859119415,0.454943388700485,0.42858037352562,98,5.00400018692017,2017,KG,26,152,151.7,112.2,59.2,18.6,2.8,2.612,1.2637,1.067,61.8
413,Nepal,1.17928326129913,0.440305948257446,0.394096165895462,99,4.96199989318848,2017,NP,39.2,107.1,126.6,91.1,41.4,16.1,2.9,2.122,1.0301,1.06,49.6333333333333
414,Mongolia,1.4930112361908,0.394143968820572,0.338464230298996,100,4.95499992370605,2017,MG,16.1,110.5,126.3,90.8,54.7,16.3,2.3,2.085,1.0171,1.05,48.45
415,South Africa,1.38478863239288,0.479246735572815,0.139362379908562,101,4.8289999961853,2017,SF,40.9,102.3,120.8,101.6,60.5,24.9,6.2,2.286,1.1317,1.02,56.0666666666667
416,Tunisia,0.868351459503174,0.289680689573288,0.0496933571994305,102,4.80499982833862,2017,TS,8,59.2,137.1,126.6,87.9,25,2.1,2.23,1.0804,1.064,51.4666666666667
418,Egypt,0.997471392154694,0.282110154628754,0.128631442785263,104,4.7350001335144,2017,EG,57.4,207.3,204.9,135.7,68.2,17.8,3.1,3.4723,1.6821,1.0643,81.5833333333333
419,Bulgaria,1.43437945842743,0.289231717586517,0.113177694380283,105,4.71400022506714,2017,BU,37.9,71,86.8,63.9,26.8,5.4,0.9,1.4645,0.7102,1.062,34.3166666666667
420,Sierra Leone,0.984136044979095,0.318697690963745,0.293040901422501,106,4.70900011062622,2017,SL,130.6,203.8,205.4,176.4,132.8,64.4,32.2,4.728,2.3291,1.03,123.366666666667
421,Cameroon,0.946018218994141,0.430388748645782,0.236298456788063,107,4.69500017166138,2017,CM,108,207.9,226.5,186.2,124.7,60.2,14.5,4.64,2.2857,1.03,116.916666666667
422,Iran,0.711551249027252,0.249322608113289,0.387242913246155,108,4.69199991226196,2017,IR,33.5,92.9,109.8,91.4,50.8,13.5,1.2,1.9656,0.9588,1.05,47.2166666666667
423,Albania,0.803685247898102,0.381498634815216,0.201312944293022,109,4.64400005340576,2017,AL,10.9,73.9,105.7,72.9,30.6,7.4,1,1.5122,0.7229,1.092,32.7833333333333
424,Bangladesh,0.735131740570068,0.478356659412384,0.172255352139473,110,4.60799980163574,2017,BG,48.6,97.9,128.7,97.7,42.9,15.9,2.3,2.17,1.0637,1.04,50.8833333333333
425,Namibia,1.0984708070755,0.520303547382355,0.0771337449550629,111,4.57399988174438,2017,WA,68.7,148.6,158.8,139.2,96.7,36.6,8.5,3.2856,1.6185,1.03,83.05
426,Kenya,1.06795072555542,0.452763766050339,0.444860309362411,112,4.55299997329712,2017,KE,50.1,133.9,165.5,135.7,72.3,30.1,7.5,2.9757,1.4731,1.02,71.6
427,Mozambique,0.870701014995575,0.480791091918945,0.322228103876114,113,4.55000019073486,2017,MZ,104.5,205,217.8,195.1,151.7,89,53.6,5.084,2.5206,1.017,133.15
429,Senegal,1.17969191074371,0.377922266721725,0.183468893170357,115,4.53499984741211,2017,SG,73.5,166.1,208.8,189.5,134.4,68.6,15.1,4.28,2.1084,1.03,107.866666666667
430,Zambia,1.00318729877472,0.461603492498398,0.249580144882202,116,4.51399993896484,2017,ZA,114.6,259.6,258,220.6,167.8,81.9,23.1,5.628,2.7724,1.03,144.6
431,Iraq,0.978613197803497,0.288555532693863,0.19963726401329,117,4.49700021743774,2017,IZ,67.9,187.5,213.6,172.2,112,40.9,6,4,1.9512,1.05,97.75
432,Gabon,1.1556202173233,0.312328577041626,0.0437853783369064,118,4.46500015258789,2017,GB,91,146.4,171.8,152.9,98.8,46.5,6.7,3.57,1.7586,1.03,90.3833333333333
433,Ethiopia,0.86466920375824,0.408842742443085,0.312650740146637,119,4.46000003814697,2017,ET,91.9,206.1,236.9,201.6,149.5,87.5,24.6,4.99,2.4581,1.03,126.866666666667
434,Sri Lanka,1.25997638702393,0.561213254928589,0.490863561630249,120,4.44000005722046,2017,CE,15.9,86.3,136.2,107.8,49.2,15.8,2.4,2.0673,1.0134,1.04,46.2333333333333
435,Armenia,1.00748372077942,0.198303267359734,0.0834880918264389,121,4.37599992752075,2017,AM,23.6,120.9,100.8,54.6,21.1,6.8,0.5,1.6413,0.7754,1.1166,37.9166666666667
436,India,0.754372596740723,0.469987004995346,0.231538489460945,122,4.31500005722046,2017,IN,33.6,160.3,151.5,84.7,36.5,14.3,4.7,2.428,1.1474,1.116,55.6833333333333
437,Mauritania,1.2720308303833,0.0960980430245399,0.201870024204254,123,4.29199981689453,2017,MR,66,141.6,177.4,167.5,117.1,71.3,31.2,3.86,1.9015,1.03,99.1166666666667
438,Congo (Brazzaville),0.832044363021851,0.435025870800018,0.120852127671242,124,4.29099988937378,2017,CF,131.7,196.3,207.8,185.8,134.9,51.2,10,4.588,2.2601,1.03,118.316666666667
439,Georgia,0.57061493396759,0.309410035610199,0.0540088154375553,125,4.28599977493286,2017,GG,36.6,104.4,101.1,70.3,30.4,8.2,0.9,1.7603,0.8518,1.0667,41.8
440,Congo (Kinshasa),1.22902345657349,0.235961347818375,0.246455833315849,126,4.28000020980835,2017,CG,74.6,174.6,209.6,200,129,71.7,18.9,4.392,2.1635,1.03,111.466666666667
441,Mali,1.28147339820862,0.306613743305206,0.183354198932648,127,4.19000005722046,2017,ML,162.7,262.3,262.3,226.4,179.5,81,27.1,6.0063,2.9588,1.03,156.5
443,Cambodia,1.00623834133148,0.633375823497772,0.385922968387604,129,4.16800022125244,2017,CB,27.7,116.6,147.7,118,63.4,26.4,3.4,2.516,1.2303,1.045,59.25
444,Sudan,1.21400856971741,0.0149958552792668,0.182317450642586,130,4.13899993896484,2017,SU,81.4,196.5,248.8,216.6,151.1,66.8,21.5,4.9133,2.3967,1.05,122.316666666667
445,Ghana,0.873664736747742,0.423026293516159,0.256923943758011,131,4.11999988555908,2017,GH,66.2,160.6,197.7,175.1,116,70.3,13.2,3.995,1.968,1.03,100.233333333333
446,Ukraine,1.39453756809235,0.122974775731564,0.270061463117599,132,4.09600019454956,2017,UP,28.8,93.7,93.5,61.3,26.4,5,0.3,1.5443,0.7482,1.064,35.9166666666667
447,Uganda,1.12982773780823,0.443185955286026,0.325766056776047,133,4.08099985122681,2017,UG,136.2,260,266.2,228.5,160,88.3,2.8,5.71,2.8128,1.03,145.966666666667
448,Burkina Faso,1.04328000545502,0.324367851018906,0.250864684581757,134,4.03200006484985,2017,UV,114,216.4,233.9,194.9,130.9,71.8,18.2,4.9,2.4138,1.03,124.366666666667
449,Niger,0.993025004863739,0.36365869641304,0.228673845529556,135,4.02799987792969,2017,NG,179.4,273.3,280.6,247.2,178.3,105.3,33,6.4855,3.1948,1.03,169.416666666667
450,Malawi,0.512568831443787,0.466914653778076,0.287170469760895,136,3.97000002861023,2017,MI,141.9,260,243.4,196.1,143,78.9,33.8,5.4857,2.7224,1.015,142.283333333333
451,Chad,0.953855872154236,0.16234202682972,0.216113850474358,137,3.93600010871887,2017,CD,163.3,269.9,277.7,239.4,158.7,70.2,22.9,6.01,2.9461,1.04,154.066666666667
452,Zimbabwe,1.08309590816498,0.336384207010269,0.189143493771553,138,3.875,2017,ZI,108.4,201.8,199.7,146.2,101,33.7,5.9,3.984,1.9626,1.03,99.5
453,Lesotho,1.19009518623352,0.390661299228668,0.157497271895409,139,3.80800008773804,2017,LT,26.9,110.6,146.1,121.5,72.5,37.1,11.7,2.6321,1.2966,1.03,63.3833333333333
454,Angola,1.10441195964813,0,0.097926490008831,140,3.79500007629395,2017,AO,160.1,258.4,276.4,244.1,183.8,88.7,20.7,6.1609,3.0349,1.03,159.3
455,Afghanistan,0.581543326377869,0.106179520487785,0.311870932579041,141,3.79399991035461,2017,AF,79.2,204.8,252.4,211.4,148.9,83.7,43.7,5.12,2.4976,1.05,128.616666666667
456,Botswana,1.22155499458313,0.505196332931519,0.0993484482169151,142,3.76600003242493,2017,BC,30.9,117,131.7,111.1,75.4,36,10.6,2.564,1.2631,1.03,63.5
457,Benin,0.435299843549728,0.425962775945663,0.207948461174965,143,3.65700006484985,2017,BN,88.3,204.9,234.5,200,132,70.5,23.1,4.766,2.3249,1.05,119.8
458,Madagascar,0.913020372390747,0.189196765422821,0.208732530474663,144,3.64400005340576,2017,MA,93,179.6,193.1,164.5,105.8,58.4,12,4.032,1.9862,1.03,102.216666666667
459,Haiti,0.640449821949005,0.0303698573261499,0.489203780889511,145,3.6029999256134,2017,HA,37.4,108,140.5,127.1,81.7,41.2,8.9,2.724,1.3546,1.011,67.3833333333333
460,Yemen,0.93538224697113,0.249463722109795,0.104125209152699,146,3.59299993515015,2017,YM,47.6,144.8,192.9,167.5,102.6,48.1,21.7,3.626,1.7688,1.05,88.7166666666667
461,South Sudan,0.601323127746582,0.147062435746193,0.285670816898346,147,3.59100008010864,2017,OD,76.4,235.4,231.7,219.3,142.2,115.5,47.5,5.34,2.6049,1.05,139.383333333333
462,Liberia,0.872117936611176,0.332881182432175,0.26654988527298,148,3.53299999237061,2017,LI,139.8,218.1,215.9,192.6,140.3,83.9,20.6,5.056,2.4906,1.03,132.55
463,Guinea,0.791244685649872,0.348587512969971,0.264815092086792,149,3.50699996948242,2017,GV,142.6,203.4,221.3,195.4,136.5,71.5,31.2,5.01,2.468,1.03,130.1
464,Togo,0.431882530450821,0.38042613863945,0.196896150708199,150,3.49499988555908,2017,TO,67.1,179.4,214.4,181.5,134.8,70.8,27.3,4.376,2.1557,1.03,110.15
465,Rwanda,0.945707023143768,0.581843852996826,0.252756029367447,151,3.47099995613098,2017,RW,33.3,154.7,203.6,176.5,126.5,68.3,10.7,3.868,1.9054,1.03,95
466,Syria,0.396102607250214,0.0815394446253777,0.493663728237152,152,3.46199989318848,2017,SY,25.4,95.5,150.8,124.4,68.2,29.4,5.5,2.496,1.2117,1.06,58.0666666666667
467,Tanzania,1.04198980331421,0.390017777681351,0.354256361722946,153,3.34899997711182,2017,TZ,97.1,224.9,225.7,187.2,139.1,61.5,18.4,4.77,2.3498,1.03,121.366666666667
468,Burundi,0.629793584346771,0.0599007532000542,0.204435184597969,154,2.90499997138977,2017,BY,60.3,262.4,286.3,254.3,209.1,96.2,28.5,5.986,2.9488,1.03,151.8
469,Central African Republic,0,0.270842045545578,0.280876487493515,155,2.69300007820129,2017,CT,118.6,195.9,208.3,172.5,98.8,48.7,17.7,4.302,2.1192,1.03,108.7
